X,Y,Stock,X1,Y1
-2.6821246225,0.0050682557,A,-0.0658,1.0148222951
-2.6704544675,0.0049850166,AAL,-0.1409,1.0659591428
-2.6587843124,0.0049017364,AAP,-0.1061,1.0481748042
-2.6471141573,0.0048183317,AAPL,-0.0102,0.9479374735
-2.6354440022,0.0047347187,AAPL,-0.0044,0.9396305387
-2.6237738472,0.004650797,ABBV,-0.6103,0.592630044
-2.6121036921,0.004566398,ABC,-0.1224,1.0577773055
-2.600433537,0.0044813364,ABMD,-0.3683,0.9521021999
-2.5887633819,0.0043954267,ABT,-0.0169,0.9570803764
-2.5770932268,0.004308479,ACIA,0.1674,0.638937069
-2.5654230718,0.0042202845,ACIW,-0.7194,0.4360342793
-2.5537529167,0.0041306298,ACN,-0.0971,1.0418605329
-2.5420827616,0.0040393016,ACN,-0.0413,0.9881019417
-2.5304126065,0.0039461113,ADBE,0.0729,0.8136423279
-2.5187424514,0.0038509693,ADBE,0.1712,0.6318803164
-2.5070722964,0.0037538109,ADI,-0.0332,0.978366733
-2.5018,0.0037089768,NA,NA,NA
-2.4954021413,0.0036545712,ADI,-0.0141,0.9532594617
-2.4837319862,0.0035531854,ADM,0,0.9332981268
-2.4720618311,0.0034496223,ADP,-0.7181,0.4377757615
-2.4603916761,0.0033439847,ADP,-0.3057,1.0178527475
-2.448721521,0.0032364093,ADS,-0.1929,1.0734094586
-2.4370513659,0.0031270324,ADS,-0.0821,1.0299293804
-2.4253812108,0.0030160019,ADSK,-0.0038,0.938767028
-2.4137110557,0.0029035114,ADSK,-0.0016,0.935600822
-2.4020409007,0.0027897657,AFL,-0.2208,1.068408344
-2.3903707456,0.0026749699,AIG,-0.2013,1.072512721
-2.3787005905,0.0025593246,AIV,-0.3655,0.9554532335
-2.3670304354,0.0024430125,AIZ,-0.446,0.8467618634
-2.3553602804,0.0023262124,AJG,-0.4721,0.8076084341
-2.3436901253,0.0022091027,AKAM,0.0609,0.834817287
-2.3320199702,0.0020918619,AKAM,0.1431,0.6843012663
-2.3203498151,0.0019746585,ALB,-0.4085,0.9001763634
-2.30867966,0.0018576211,ALGN,-0.2878,1.0325842985
-2.297009505,0.0017408679,ALK,-0.2926,1.0288225189
-2.2853393499,0.0016245174,ALL,-0.5624,0.6667412781
