X,Y,Stock,X1,Y1
-0.58130053,0,A,0.0149,1.149214237
-0.572325381,0,AAL,0.1299,1.32174559
-0.563350232,0,AAP,0.2221,1.3243447
-0.554375083,0,AAPL,0.2917,1.251374742
-0.545399934,0,AAPL,0.5101,0.792789905
-0.536424786,0,ABBV,-0.0199,1.066860867
-0.527449637,0,ABC,0.2239,1.323230255
-0.518474488,0,ABMD,0.3272,1.194399988
-0.509499339,0,ABT,0.3605,1.131749601
-0.50052419,0,ACIA,0.3947,1.060275931
-0.491549041,0,ACIW,0.5082,0.79729139
-0.482573893,0,ACN,0.2938,1.248308789
-0.473598744,0,ACN,0.5138,0.784024745
-0.464623595,0,ADBE,0.1057,1.300444743
-0.455648446,0,ADBE,0.1849,1.337983497
-0.446673297,0.006567117,ADI,0.1501,1.332854882
-0.437698148,0.023857972,ADI,0.2625,1.288981569
-0.428722999,0.041300775,ADM,0.4386,0.961430533
-0.419747851,0.058909082,ADP,0.1324,1.323412378
-0.410772702,0.076696238,ADP,0.2315,1.317930466
-0.4077,0.08285157,UPS,0.072,1.256857459
-0.401797553,0.094675534,ADS,0.4145,1.01649545
-0.392822404,0.112860259,ADS,0.7248,0.345573459
-0.391,0.116597019,WDC,0.1874,1.337677283
-0.383847255,0.131263413,ADSK,0.2275,1.320878989
-0.374872106,0.14989683,ADSK,0.3978,1.053539092
-0.3723,0.155306109,NA,NA,NA
-0.365896958,0.168772053,AEE,0.1267,1.319475251
-0.356921809,0.187900626,AEIS,0.5622,0.671037521
-0.34794666,0.207293394,AEP,0.3116,1.220807507
-0.338971511,0.226958406,AES,0.4517,0.930940536
-0.3332,0.239783879,NA,NA,NA
-0.329996362,0.246903015,AFL,0.2016,1.334270572
-0.321021213,0.267134573,AIG,0.0727,1.25795187
-0.312046064,0.28766043,AIV,0.1125,1.307307777
-0.303070916,0.308486976,AIZ,0.1412,1.328685205
-0.294095767,0.329616744,AJG,0.252,1.300080483
-0.285120618,0.351051304,AKAM,0.2562,1.295735933
-0.285,0.351343482,TEL,0.011,1.140621776
-0.278,0.368299908,NA,NA,NA
-0.276145469,0.372792224,AKAM,0.4481,0.939345661
-0.2736,0.379045321,SLG,0.0408,1.202841931
-0.26717032,0.394840213,ALB,0.5227,0.762999157
-0.2665,0.396509623,NA,NA,NA
-0.258195171,0.417192525,ALGN,0.4904,0.839523974
-0.258,0.417685132,NA,NA,NA
-0.249220023,0.439845553,ALK,0.0401,1.20150882
-0.2452,0.450125056,NA,NA,NA
-0.240244874,0.46279569,ALL,-0.0522,0.982536048
-0.2349,0.476636923,NA,NA,NA
-0.2331,0.481298253,NA,NA,NA
-0.2328,0.482075142,NA,NA,NA
-0.231269725,0.486037984,ALLE,0.2225,1.324097045
-0.2257,0.500636398,NA,NA,NA
-0.2236,0.50614056,WEC,0.2551,1.296912796
-0.2232,0.507188971,TRMB,0.6479,0.485935719
-0.2229,0.50797528,SYNA,0.1111,1.306005057
-0.222294576,0.509562114,ALRM,0.4412,0.955418129
-0.2221,0.510077961,NA,NA,NA
-0.22,0.515645337,NA,NA,NA
-0.2143,0.530756785,NA,NA,NA
-0.213319427,0.533356412,ALTR,0.5635,0.668061858
-0.208,0.547612122,NA,NA,NA
-0.204344278,0.557409213,ALXN,0.4457,0.944940416
-0.1994,0.570795527,WMB,-0.1977,0.575398167
-0.1977,0.575398167,NA,NA,NA
-0.19536913,0.581708848,AMAT,0.3009,1.237714574
-0.1948,0.583264536,VRSN,0.4015,1.045395491
-0.186393981,0.606241977,AMAT,0.5262,0.754763497
-0.177418832,0.630988557,AMD,0.1054,1.300126269
-0.1735,0.641877408,NA,NA,NA
-0.1714,0.647712459,NA,NA,NA
-0.168443683,0.65592687,AMD,0.1843,1.338056989
-0.1611,0.676471109,WMT,0.3165,1.212804357
-0.159468534,0.681035198,AME,0.3559,1.140813866
-0.150493385,0.706290229,AMGN,0.0177,1.155379476
-0.148,0.713338837,SPLK,0.0583,1.234659292
-0.1458,0.719558068,NA,NA,NA
-0.1427,0.728321529,NA,NA,NA
-0.1423,0.729452298,NA,NA,NA
-0.141518236,0.731662283,AMKR,0.3227,1.202225099
-0.138,0.74164168,NA,NA,NA
-0.132543088,0.757120086,AMP,0.0153,1.150094986
-0.1309,0.761790639,TT,0.0394,1.200175708
-0.1285,0.76861275,WM,0.1306,1.322212291
-0.1285,0.76861275,NA,NA,NA
-0.123567939,0.782632363,AMT,0.0053,1.127574524
